participant,profession,age,leading_hand,sex,languages,education
335f36de-d43c-4a22-ad20-eb2970a05e8a,админестратор,41,правая,женщина,русский,специалитет
b1f25e65-e280-4036-80c9-295f930726cc,Инженер,32,правая,мужчина,Русский,бакалавриат
130ec9f6-cc2d-4598-9eb0-fd55a4fb58c0,психолог,28,правая,женщина,русский,специалитет
b604cf9a-a809-45dd-9e85-0f5a41429ca0,Художник,18,правая,женщина,Русский,школа
a224e6f5-a66d-4162-b05e-29feef4c0e7e,инженер,27,правая,женщина,русский,специалитет
cb00911f-d384-4066-bf85-f98c18163b34,инженер,35,правая,мужчина,русский,магистратура
4dd6ae1b-9801-4fcf-8527-696fa15f8016,Разнорабочий,21,правая,мужчина,Русский,средняя школа
35837a1f-4eae-4b47-9aa5-5d4729414c8d,переводчик,19,правая,женщина,русский,средняя школа
62650448-b15c-4504-b8af-fa42c9923c71,филолог английского языка,22,правая,женщина,"русский, украинский",бакалавриат
e4c16278-bc41-4c12-b9f6-7f7113c59c17,инженер-электромеханик,40,правая,мужчина,Русский,специалитет
f7539874-849e-48bc-a0ca-1e238e934b26,переводчик,34,правая,женщина,русский,специалитет
99065f59-727e-46ce-9494-9eef55914e44,Менеджер,25,правая,женщина,русский,специалитет
76596881-1949-4ad6-bc09-999b17975b6b,менеджер,49,правая,женщина,русский,магистратура
5fcec2d9-bdb0-4b47-90d0-e02135de4efe,юрист,55,правая,женщина,русский,специалитет
89a67292-7eaf-4733-b3e2-b0783fc6d4f2,воспитатель,37,правая,женщина,русский,школа
6aa4bac9-fe3a-4fd8-bb65-b3c2d00be2f3,инженер-программист,33,правая,мужчина,русский,бакалавриат
64166a8c-bfa6-4260-8524-e971ef1c4c31,финансист,32,правая,мужчина,русский,специалитет
9200d38d-86fd-4fab-9f7d-c358c04a9d0d,юрист,23,правая,женщина,русский,бакалавриат
70966758-bf1a-4fe6-9210-5f2335147776,Аналитик,42,правая,женщина,Русский,бакалавриат
4f87a0c7-c50c-4a98-a664-b43f2926c581,кондитер,28,владею обеими руками одинаково,женщина,русский,магистратура
8f65ae40-d5b5-48da-83eb-f24a5430b6c9,инженер,31,правая,мужчина,русский,специалитет
b7f951d2-96ca-4021-ba50-b6c252fde9b1,менеджер,43,правая,женщина,"русский, белорусский",специалитет
ac8d8db9-aec5-455b-af05-26268ce22bce,менеджер,43,правая,женщина,"русский, белорусский",специалитет
96d183e0-ed74-4e28-ab19-659f4a3100b1,преподаватель,42,правая,женщина,русский,специалитет
2e39ec65-66e1-4041-8006-ea8eda1364e0,домохозяйка,44,правая,женщина,русский,специалитет
a3870665-85d0-4856-bd96-5f1a735e5be4,Юрист,33,правая,женщина,"Русский,украинский",специалитет
bd4fcc19-4d47-4248-88dd-aab3d9214b1e,бухгалтер,52,правая,женщина,русский,средняя школа
a89120a6-a786-4b15-a3e0-58b44076c64d,инженер,33,правая,женщина,русский,специалитет
9192cb9c-3437-4b40-93da-1c7d85b4e773,спасатель,22,правая,мужчина,русский,специалитет
111556a1-5652-4297-bea6-e0f5586eba0a,Бухгалтер,35,правая,женщина,Русский,бакалавриат
2c31fa34-15c8-41b7-8f27-d56b653f99c2,студентка,23,правая,женщина,русский,школа
4f8d74bd-d019-4383-983c-0ee484911cd9,фельдшер общей практики,29,правая,женщина,русский,специалитет
34bc3e33-65c7-460f-b937-ad3eded2fd1d,инженер,56,правая,мужчина,русский,специалитет
a6c02d15-e6d3-4beb-a267-bd3917889c53,инженер,34,правая,мужчина,русский,бакалавриат
eef3d2d9-ce8c-4ce1-a284-0ffcd26a0604,программист,20,правая,женщина,русский,школа
4ddb2c49-8d55-493a-bfdc-e2eedb8a5f21,Повар,40,правая,женщина,Русский,школа
53cf8d8b-fdc5-4417-9bb1-c3cc9c6a8ed2,Инженер,23,правая,женщина,русский,магистратура
1045e2e1-e43c-4f0a-8692-404ca5f9d76b,админестратор,41,правая,женщина,русский,специалитет
c06ed896-c26d-4e28-aa2a-e95a9bdb2b37,инженер,42,правая,мужчина,русский,бакалавриат
30d46408-da79-49d1-9f8b-982204efb2da,Юрист,29,правая,мужчина,Русский,специалитет
65b56093-918e-4dff-b681-fe3a05ec8903,преподаватель,42,правая,женщина,русский,специалитет
361d59e5-4773-4dfe-b6b1-17e5646758c1,логист,25,правая,мужчина,русский,специалитет
4ce52fdb-6731-4609-862a-749a7c1da779,сурдопедагог,54,правая,женщина,русский,специалитет
58b0c966-2941-4ad3-8026-7202d3616e7b,Менеджер-экономист,32,правая,женщина,"Русский, украинский",специалитет
7f1bd175-42ab-4caf-a57e-1d02c64f12d3,IT Специалист,31,правая,мужчина,Русский,бакалавриат
1084f149-0644-4edd-8260-06f7a401f4a9,филолог русского языка и литературы,30,правая,мужчина,русский,бакалавриат
a12bacf6-446b-451f-a102-4c6cfbbcde48,экономист,37,правая,женщина,русский,специалитет
b5a2fc69-8f64-4b68-9a64-9bcbf194bcea,офис-менеджер,31,правая,женщина,Русский,магистратура
f625e420-760d-4de7-8f9e-b434ec7aeaad,Безработній,20,правая,женщина,Русский,бакалавриат
